model,order,capacity,setting,er_dice,mito_dice,mito_pq
EMCF,1,ViT-B,frozen,0.15294,0.13999,0.03292
DINOv2,2,ViT-L,frozen,0.05557,0.34053,0.15670
DINOv2,2,ViT-L,lora,0.18077,0.39415,0.21697
DINOv2,2,ViT-L,last_4,0.14100,0.36865,0.21143
DINOv2,2,ViT-L,full_ft,0.19647,0.38845,0.25100
DINOv3,3,ViT-L,frozen,0.17341,0.48703,0.17672
DINOv3,3,ViT-L,lora,0.17198,0.54867,0.28164
DINOv3,3,ViT-L,last_4,0.19284,0.55466,0.28139
DINOv3,3,ViT-L,full_ft,0.15346,0.50523,0.30249
OmniEM,4,ViT-L,frozen,0.10426,0.46669,0.17952
OmniEM,4,ViT-L,lora,0.33235,0.71575,0.48475
OmniEM,4,ViT-L,last_4,0.25979,0.62712,0.38395
OmniEM,4,ViT-L,full_ft,0.24102,0.63955,0.40184
DINOv3-B,5,ViT-B,frozen,0.09683,0.37465,0.16514
DINOv3-B,5,ViT-B,lora,0.20172,0.27955,0.10049
DINOv3-B,5,ViT-B,last_4,0.11082,0.50725,0.28133
DINOv3-B,5,ViT-B,full_ft,0.12713,0.38176,0.24884
QuantEM,6,ViT-B,frozen,0.00835,0.46951,0.16726
QuantEM,6,ViT-B,lora,0.19068,0.61980,0.31017
QuantEM,6,ViT-B,last_4,0.14985,0.69310,0.36171
QuantEM,6,ViT-B,full_ft,0.22986,0.67254,0.28563
